,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
139,ATC_Level_1_description*MultinomialNB,MultinomialNB,ATC_Level_1_description,0.687033849684452,0.35308575622070626,0.6299212598425197,0.8095238095238095,0.4819277108433735,0.15461181154611825
140,ATC_Level_2_description*MultinomialNB,MultinomialNB,ATC_Level_2_description,0.7487091222030982,0.4298575989095211,0.6766917293233082,0.7619047619047619,0.5421686746987951,0.19161243673174255
141,ATC_Level_3_description*MultinomialNB,MultinomialNB,ATC_Level_3_description,0.7550200803212851,0.4063076259833255,0.6717557251908397,0.8095238095238095,0.5301204819277109,0.19972018188177676
142,ATC_Level_4_description*MultinomialNB,MultinomialNB,ATC_Level_4_description,0.6985083189902467,0.42330981030041576,0.5573770491803278,0.7619047619047619,0.40963855421686746,0.0885914595283619
143,ATC_Level_5*MultinomialNB,MultinomialNB,ATC_Level_5,0.6353987378083763,0.37896033200582935,0.15555555555555556,1.0,0.08433734939759036,0.03586240546474739
144,Associated_condition*MultinomialNB,MultinomialNB,Associated_condition,0.7165806081468733,0.3724406140471694,0.559322033898305,0.9047619047619048,0.39759036144578314,0.15511955855303494
145,Carrier*MultinomialNB,MultinomialNB,Carrier,0.6646586345381525,0.38980419553494144,0.0898876404494382,0.9047619047619048,0.04819277108433735,-0.029580152671755844
146,Category*MultinomialNB,MultinomialNB,Category,0.8072289156626505,0.4914849624522625,0.3689320388349514,0.9523809523809523,0.2289156626506024,0.07291112293773294
147,Enzyme*MultinomialNB,MultinomialNB,Enzyme,0.5797475616752725,0.27094327226315834,0.15384615384615385,0.9523809523809523,0.08433734939759036,0.025234318673395872
148,Group*MultinomialNB,MultinomialNB,Group,0.3818129661503155,0.17360697692032057,0.0,1.0,0.0,0.0
149,Target*MultinomialNB,MultinomialNB,Target,0.7679288582903041,0.4476522236998188,0.65625,0.8571428571428571,0.5060240963855421,0.1981226952732148
150,Taxonomy*MultinomialNB,MultinomialNB,Taxonomy,0.740390131956397,0.41418890408370573,0.6917293233082706,0.8095238095238095,0.5542168674698795,0.2292118582791034
151,Transporter*MultinomialNB,MultinomialNB,Transporter,0.5395869191049913,0.359901130060416,0.11235955056179775,0.9523809523809523,0.060240963855421686,0.0053268765133173135
152,Type*MultinomialNB,MultinomialNB,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
